tmdbId,poster_path,runtime,budget,popularity,revenue,vote_average,vote_count
862,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,81,30000000,21.946943,373554033,7.7,5415
8844,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,104,65000000,17.015539,262797249,6.9,2413
15602,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,101,0,11.7129,0,6.5,92
31357,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,127,16000000,3.859495,81452156,6.1,34
11862,/e64sOI48hQXyru7naBFyssKFxVd.jpg,106,0,8.387519,76578911,5.7,173
949,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,170,60000000,17.924927,187436818,7.7,1886
11860,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,127,58000000,6.677277,0,6.2,141
45325,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,97,0,2.561161,0,5.4,45
9091,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,106,35000000,5.23158,64350171,5.5,174
710,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,130,58000000,14.686036,352194034,6.6,1194
9087,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,106,62000000,6.318445,107879496,6.5,199
12110,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,88,0,5.430331,0,5.7,210
21032,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,78,0,12.140733,11348324,7.1,423
10858,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,192,44000000,5.092,13681765,7.1,72
1408,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,119,98000000,7.284477,10017322,5.7,137
524,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,178,52000000,10.137389,116112375,7.8,1343
4584,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,136,16500000,10.673167,135000000,7.2,364
5,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,98,4000000,9.026586,4300000,6.5,539
9273,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,90,30000000,8.205448,212385533,6.1,1128
11517,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,103,60000000,7.337906,35431113,5.4,224
8012,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,105,30250000,12.669608,115101622,6.4,305
1710,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,124,0,10.701801,0,6.5,199
9691,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,132,50000000,11.065939,30303072,6,394
12665,/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,111,0,12.133094,0,6.3,143
451,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,112,3600000,10.332025,49800000,7.1,365
16420,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,123,0,1.845899,0,7,33
